% Model:              fick_darcy_comb_zaloha1_032025_small_dt.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jun 10 2025, 21:24
% Table:              Table 3 - Volume Average 2
% Time (s)                                        c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)
36000                                             0.38276033526693864                               0.38587680934258634                               0.38612145594021474                               0.38841239845425873
36600                                             0.38282220070661505                               0.3859466066191692                                0.3861943916958225                                0.3884965136871422
37200                                             0.3828840661462935                                0.38601640389574715                               0.3862673274514292                                0.38858062892002765
37800                                             0.3829459315859703                                0.3860862011723295                                0.3863402632070363                                0.38866474415291896
38400                                             0.3830077970256533                                0.38615599844890675                               0.38640441996920916                               0.38874077682378805
39000                                             0.383069662465329                                 0.3862257957254887                                0.3864659019016278                                0.38881193959242677
39600                                             0.3831315279050073                                0.3862955930020674                                0.38652738383404517                               0.38888310236106843
40200                                             0.3831933933446867                                0.3863653902786513                                0.3865888657664577                                0.3889542651297035
40800                                             0.38324844482541987                               0.3864276042830548                                0.38665034769887935                               0.38902542789834066
41400                                             0.38329683785304564                               0.38648641596279254                               0.38671182963129536                               0.3890965906669777
42000                                             0.3833452308806734                                0.3865452276425383                                0.38677331156371136                               0.3891677534356144
42600                                             0.38339362390829584                               0.3866040393222774                                0.3868347934961305                                0.38923891620425083
43200                                             0.3834420169359219                                0.3866628510020171                                0.38689627542854405                               0.3893100789728911
43800                                             0.38349040996354955                               0.3867216626817579                                0.38695775736095933                               0.38938124174152755
44400                                             0.38353880299117393                               0.38678047436150176                               0.3870192392933819                                0.38945240451016655
45000                                             0.38358719601880464                               0.3868392860412427                                0.38708072122579734                               0.3895235672788046
45600                                             0.38363558904642475                               0.38689809772097894                               0.387142203158211                                 0.3895947300474365
46200                                             0.3836839820740579                                0.38695690940072136                               0.3872036850906264                                0.3896658928160813
46800                                             0.3837323751016866                                0.3870157210804671                                0.3872651670230418                                0.3897370555847169
47400                                             0.38378076812930845                               0.3870745327602082                                0.38732664895546276                               0.3898082183533528
48000                                             0.38382916115693594                               0.3871333444399482                                0.38738813088787555                               0.38987938112198944
48600                                             0.38387755418456065                               0.3871921561196897                                0.38744961282029466                               0.3899505438906269
49200                                             0.3839259472121909                                0.3872509677994284                                0.38751109475271395                               0.3900217066592658
49800                                             0.38397434023980975                               0.38730977947917156                               0.3875725766851228                                0.39009286942790045
50400                                             0.3840227332674402                                0.3873685911589089                                0.38763405861754874                               0.39016403219654144
51000                                             0.38407112629506795                               0.3874274028386545                                0.3876955405499593                                0.3902351949651812
51600                                             0.3841195193226931                                0.3874862145183914                                0.3877570224823755                                0.3903063577338179
52200                                             0.3841679123503201                                0.3875450261981353                                0.3878185044147967                                0.39037752050245444
52800                                             0.384216305377946                                 0.38760383787787334                               0.3878799863472167                                0.3904486832710925
53400                                             0.3842646984055723                                0.38766264955761864                               0.3879414682796316                                0.39051984603972906
54000                                             0.3843130914331986                                0.38772146123736273                               0.3880029502120478                                0.39059100880836894
54600                                             0.3843614844608244                                0.3877802729170974                                0.3880644321444665                                0.3906621715770037
55200                                             0.3844098774884509                                0.38783908459683936                               0.3881259140768809                                0.39073333434564084
55800                                             0.38445827051607556                               0.38789789627658255                               0.3881873960092954                                0.3908044971142779
56400                                             0.38450666354369994                               0.3879567079563218                                0.3882470375036386                                0.3908721485922846
57000                                             0.38455505657132966                               0.38801551963606007                               0.38830083856012204                               0.3909347203999624
57600                                             0.3846034495989592                                0.3880743313158045                                0.38835463961661415                               0.39099729220763263
58200                                             0.3846518426265787                                0.3881331429955447                                0.38840844067310665                               0.3910598640153032
58800                                             0.38470023565420536                               0.38819195467528644                               0.3884622417296002                                0.3911224358229739
59400                                             0.3847486286818345                                0.38825076635502653                               0.3885160427860922                                0.39118500763064656
60000                                             0.3847970217094585                                0.3883066788245169                                0.38856984384258                                  0.39124757943831184
60600                                             0.38484541473708983                               0.3883581146592105                                0.3886236448990728                                0.3913101512459899
61200                                             0.38489380776471216                               0.3884095504939019                                0.38867744595556103                               0.39137272305366516
61800                                             0.38494220079233626                               0.38846098632859766                               0.388731247012052                                 0.39143529486133327
62400                                             0.38499059381996986                               0.3885124221632874                                0.3887850480685462                                0.3914978666690014
63000                                             0.3850389868475908                                0.38856385799798265                               0.388838849125034                                 0.3915604384766764
63600                                             0.3850873798752208                                0.3886152938326784                                0.38889265018152824                               0.39162301028434787
64200                                             0.385135772902846                                 0.388666729667371                                 0.3889464512380155                                0.3916855820920126
64800                                             0.3851829046273109                                0.3887181655020608                                0.3890002522945045                                0.3917481538996871
65400                                             0.3852235749165085                                0.38876960133675553                               0.3890540533509984                                0.3918107257073572
66000                                             0.38526424520569286                               0.388821037171447                                 0.38910785440749035                               0.39187329751503214
66600                                             0.38530491549489604                               0.38887247300614247                               0.3891616554639791                                0.39193586932270164
67200                                             0.3853455857840898                                0.38892390884083167                               0.3892154565204725                                0.3919984411303749
67800                                             0.38538625607328125                               0.38897534467552486                               0.3892692575769614                                0.39206101293804324
68400                                             0.3854269263624818                                0.38902678051022266                               0.38932305863345323                               0.39212358474571185
69000                                             0.38546759665167246                               0.38907821634491513                               0.389376859689947                                 0.392186156553385
69600                                             0.3855082669408655                                0.38912965217960815                               0.3894306607464327                                0.3922487283610599
70200                                             0.3855489372300661                                0.3891810880142984                                0.3894844618029277                                0.39231130016872673
70800                                             0.3855896075192548                                0.38923252384899437                               0.3895382628594153                                0.39237387197639634
71400                                             0.38563027780844755                               0.38928395968368906                               0.389592063915907                                 0.3924364437840701
72000                                             0.3856709480976498                                0.38933539551838164                               0.3896458649723993                                0.39249901559174
72600                                             0.38571161838684037                               0.3893868313530741                                0.3896996660288897                                0.39256158739941377
73200                                             0.38575228867603806                               0.38943826718776847                               0.38975346708537895                               0.39262415920708266
73800                                             0.385792958965234                                 0.38948970302246133                               0.3898072681418724                                0.3926867310147543
74400                                             0.3858336292544251                                0.3895411388571539                                0.3898610691983675                                0.39274731609850955
75000                                             0.3858742995436242                                0.38959257469184866                               0.3899083427985696                                0.39279961640907934
75600                                             0.3859149698328217                                0.3896440105265399                                0.38995298582524357                               0.39285191671964914
76200                                             0.3859556401220129                                0.38969544636123266                               0.38999762885192657                               0.39290421703021877
76800                                             0.38599631041120896                               0.3897468821959206                                0.39004227187860063                               0.39295651734079445
77400                                             0.3860369807004029                                0.38979831803062187                               0.39008691490527886                               0.3930088176513616
