% Model:              fick_darcy_comb_zaloha1_032025_small_dt.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jun 10 2025, 20:41
% Table:              Table 3 - Volume Average 2
% Time (s)                                        c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)
25800                                             0.38216332406416065                               0.3851327218697798                                0.3853502615380821                                0.3874421822909628
26400                                             0.38225077348255393                               0.38522303572511224                               0.3854440244653527                                0.3875485747693111
27000                                             0.3823382229009421                                0.385313349580451                                 0.3855377873926393                                0.3876549672476913
27600                                             0.382425672319359                                 0.38540366343578203                               0.38563155031993307                               0.3877613597260642
28200                                             0.3825129828211579                                0.38549397729108875                               0.38572531324722664                               0.38786775220442427
28800                                             0.3825868291357486                                0.3855842911464308                                0.3858170174591466                                0.38797414468278696
29400                                             0.3826606754503438                                0.3856746050017505                                0.38590192784833416                               0.38807176970895113
30000                                             0.38273452176492345                               0.38576491885707576                               0.38598683823751107                               0.3881678395800699
30600                                             0.3828083680795167                                0.38585469195706273                               0.386071748626682                                 0.3882639094511967
31200                                             0.3828822143941066                                0.3859364531948197                                0.38615665901586205                               0.3883599793223121
31800                                             0.38295606070869836                               0.38601821443258544                               0.3862415694050329                                0.3884560491934252
32400                                             0.38302990702327466                               0.3860999756703429                                0.3863264797941986                                0.3885521190645228
33000                                             0.38310375333787305                               0.3861817369080877                                0.3864113901833994                                0.3886481889356495
33600                                             0.38317759965243736                               0.38626349814585115                               0.38649630057259154                               0.38874425880676505
34200                                             0.38325144596702615                               0.3863452593835852                                0.38658121096173503                               0.3888403286778588
34800                                             0.38332529228160506                               0.3864270206213583                                0.38666612135092543                               0.38893639854897316
35400                                             0.38339913859618474                               0.3865087818591172                                0.38675103174009823                               0.3890324684200924
36000                                             0.38347298491079906                               0.3865905430968583                                0.3868359421292771                                0.38912853829121324
36600                                             0.38354683122537037                               0.38667230433460364                               0.38692085251845365                               0.38922460816232457
37200                                             0.3836206775399581                                0.3867540655723693                                0.38700576290762434                               0.3893206780334388
37800                                             0.3836945238545323                                0.3868358268101229                                0.38709028681819846                               0.3894167479045411
38400                                             0.38376837016912657                               0.3869175880478682                                0.3871636470819361                                0.3895026753083724
39000                                             0.3838422164837169                                0.38699934928563373                               0.3872370073456592                                0.3895857175329997
39600                                             0.3839160627983044                                0.3870811105233892                                0.38731036760938103                               0.3896687597576476
40200                                             0.3839899091128846                                0.3871628717611479                                0.3873837278730958                                0.3897518019822775
40800                                             0.3840503301633686                                0.3872336859458938                                0.38745708813680485                               0.3898348442069199
41400                                             0.3841104918037931                                0.3873043282260314                                0.3875304484005325                                0.3899178864315862
42000                                             0.384170653444234                                 0.38737497050613856                               0.3876038086642693                                0.3900009286562121
42600                                             0.3842308150846494                                0.38744561278628853                               0.38767716892799664                               0.3900839708808611
43200                                             0.38429097672510326                               0.38751625506643433                               0.38775052919172953                               0.3901670131055142
43800                                             0.3843511383655492                                0.3875868973465466                                0.3878238894554449                                0.3902500553301456
44400                                             0.384411300005988                                 0.3876575396266794                                0.38789724971916323                               0.39033309755480233
45000                                             0.38447146164641655                               0.3877281819068115                                0.38797060998289573                               0.3904161397794443
45600                                             0.3845316232868349                                0.38779882418696304                               0.38804397024659787                               0.3904991820040912
46200                                             0.38459178492729684                               0.3878694664670763                                0.388117330510323                                 0.3905822242287283
46800                                             0.38465194656772544                               0.3879401087472085                                0.38819069077405455                               0.39066526645334193
47400                                             0.3847121082081598                                0.3880107510273412                                0.3882640510377678                                0.39074830867802757
48000                                             0.3847722698486178                                0.38808139330746666                               0.38833741130149374                               0.390831350902655
48600                                             0.3848324314890442                                0.38815203558761596                               0.38841077156523407                               0.39091439312732057
49200                                             0.38489259312946955                               0.3882226778677498                                0.38848413182894626                               0.39099743535196085
49800                                             0.384952754769931                                 0.3882933201478686                                0.3885574920926679                                0.39108047757659986
50400                                             0.38501291641036706                               0.38836396242800314                               0.3886308523563821                                0.3911635198012568
51000                                             0.3850730780507919                                0.38843460470814                                  0.3887042126201089                                0.39124656202588315
51600                                             0.3851332396912263                                0.3885052469882499                                0.3887775728838435                                0.3913296042505329
52200                                             0.38519340133166524                               0.3885758892684102                                0.3888509331475571                                0.3914126464751558
52800                                             0.3852535629720943                                0.3886465315485278                                0.38892429341127877                               0.3914956886998277
53400                                             0.38531372461255764                               0.38871717382866044                               0.38899765367500566                               0.39157873092446477
54000                                             0.3853738862529916                                0.38878781610880836                               0.38907101393871885                               0.39166177314909506
54600                                             0.3854340478934218                                0.38885845838892613                               0.3891443742024426                                0.39174481537375366
